Participants,Type of Meal,Date of Meal,Meal Price,Year,Day of The Month,Day of The Week
['David Leung' 'Ryan Marcy' 'Fidela Smith' 'Edward Young' 'Ronnie Monroe'],Lunch,2018-07-12 14:00:00+02:00,33,2018,17,Tuesday
['Edward Young'],Breakfast,2017-04-08 08:00:00+02:00,417,2017,11,Tuesday
['Ronnie Monroe' 'Fidela Smith' 'Edward Young'],Breakfast,2018-03-11 08:00:00+01:00,117,2018,12,Monday
['Fidela Smith' 'Clifford Hardman' 'Edward Young' 'David Leung'],Breakfast,2018-08-27 08:00:00+02:00,145,2018,24,Friday
['Clifford Hardman' 'Ronnie Monroe' 'Ryan Marcy'],Lunch,2015-01-17 13:00:00+01:00,22,2015,18,Sunday
"['Ronnie Monroe' 'Edward Young' 'Ryan Marcy' 'Fidela Smith'
 'Clifford Hardman']",Lunch,2014-08-10 14:00:00+02:00,97,2014,12,Tuesday
['Edward Young' 'Ronnie Monroe' 'David Leung' 'Ryan Marcy'],Breakfast,2015-12-25 08:00:00+01:00,318,2015,30,Wednesday
['Ronnie Monroe' 'Fidela Smith' 'David Leung' 'Edward Young' 'Ryan Marcy'],Lunch,2016-09-08 14:00:00+02:00,30,2016,5,Monday
['Fidela Smith' 'Edward Young' 'Clifford Hardman'],Dinner,2018-04-11 21:00:00+02:00,294,2018,14,Saturday
"['Ronnie Monroe' 'Fidela Smith' 'Clifford Hardman' 'Edward Young'
 'David Leung']",Lunch,2014-01-11 13:00:00+01:00,420,2014,7,Tuesday
"['Edward Young' 'Clifford Hardman' 'David Leung' 'Ryan Marcy'
 'Fidela Smith']",Breakfast,2016-02-02 07:00:00+01:00,111,2016,1,Monday
['Clifford Hardman'],Breakfast,2017-01-01 08:00:00+01:00,259,2016,31,Saturday
['David Leung'],Lunch,2016-09-28 12:00:00+02:00,492,2016,3,Monday
['Robert Provencal' 'Elizabeth Halbert'],Breakfast,2014-05-16 07:00:00+02:00,333,2014,16,Friday
['Robert Provencal' 'Elizabeth Halbert'],Dinner,2014-10-24 21:00:00+02:00,579,2014,24,Friday
['Darryl Goodall'],Lunch,2015-01-21 13:00:00+01:00,699,2015,19,Monday
['Elizabeth Halbert'],Dinner,2018-10-13 21:00:00+02:00,626,2018,16,Tuesday
['Elizabeth Halbert'],Dinner,2014-06-05 22:00:00+02:00,41,2014,3,Tuesday
['Robert Provencal' 'Darryl Goodall'],Breakfast,2015-07-03 08:00:00+02:00,526,2015,2,Thursday
['Elizabeth Halbert'],Breakfast,2016-08-26 08:00:00+02:00,278,2016,25,Thursday
['Elizabeth Halbert' 'Robert Provencal'],Dinner,2017-05-18 22:00:00+02:00,551,2017,17,Wednesday
['Robert Provencal'],Lunch,2016-02-08 12:00:00+01:00,101,2016,4,Thursday
['Eric Dinwiddie'],Lunch,2016-08-09 12:00:00+02:00,729,2016,10,Wednesday
['Joy Panza' 'Eric Dinwiddie'],Lunch,2014-11-17 13:00:00+01:00,544,2014,15,Saturday
"['Helen Stanton' 'Doris Cortinas' 'Clarence Binegar' 'Allen Moore'
 'Eric Dinwiddie']",Dinner,2015-07-21 22:00:00+02:00,360,2015,24,Friday
['Clarence Binegar'],Lunch,2018-07-22 13:00:00+02:00,409,2018,26,Thursday
['Joy Panza' 'Helen Stanton' 'Doris Cortinas' 'Eric Dinwiddie'],Lunch,2017-12-23 12:00:00+01:00,801,2017,19,Tuesday
['Doris Cortinas' 'Allen Moore' 'Clarence Binegar' 'Eric Dinwiddie'],Lunch,2018-11-12 13:00:00+01:00,470,2018,12,Monday
['Doris Cortinas' 'Joy Panza'],Dinner,2015-05-20 21:00:00+02:00,335,2015,23,Saturday
['Joy Panza' 'Allen Moore' 'Eric Dinwiddie' 'Helen Stanton'],Dinner,2014-10-01 21:00:00+02:00,425,2014,4,Saturday
['Clarence Binegar' 'Helen Stanton'],Lunch,2017-01-14 12:00:00+01:00,393,2017,17,Tuesday
['Joy Panza' 'Eric Dinwiddie' 'Helen Stanton'],Dinner,2014-12-09 21:00:00+01:00,167,2014,10,Wednesday
['Allen Moore'],Dinner,2017-10-16 20:00:00+02:00,369,2017,18,Wednesday
['Eric Dinwiddie' 'Helen Stanton' 'Clarence Binegar' 'Joy Panza'],Breakfast,2018-05-22 09:00:00+02:00,398,2018,23,Wednesday
['Joy Panza' 'Eric Dinwiddie' 'Doris Cortinas' 'Clarence Binegar'],Lunch,2014-08-18 14:00:00+02:00,370,2014,22,Friday
['Allen Moore' 'Helen Stanton' 'Doris Cortinas'],Breakfast,2018-09-11 08:00:00+02:00,523,2018,16,Sunday
['Allen Moore' 'Eric Dinwiddie' 'Joy Panza'],Dinner,2015-08-05 22:00:00+02:00,446,2015,4,Tuesday
"['Doris Cortinas' 'Eric Dinwiddie' 'Allen Moore' 'Helen Stanton'
 'Joy Panza']",Lunch,2016-04-23 12:00:00+02:00,285,2016,27,Wednesday
['Helen Schuld'],Lunch,2015-12-20 13:00:00+01:00,384,2015,24,Thursday
['Dennis Lane' 'Sandy Burns' 'Nicole Merlo'],Breakfast,2015-02-24 08:00:00+01:00,127,2015,28,Saturday
['Sandy Burns'],Dinner,2015-12-30 20:00:00+01:00,271,2015,30,Wednesday
['Dennis Lane'],Dinner,2014-05-21 20:00:00+02:00,425,2014,20,Tuesday
['Sandy Burns'],Lunch,2018-05-01 14:00:00+02:00,41,2018,1,Tuesday
['Nicole Merlo' 'Dennis Lane'],Breakfast,2014-12-15 07:00:00+01:00,221,2014,18,Thursday
['Sandy Burns'],Breakfast,2018-06-26 07:00:00+02:00,516,2018,30,Saturday
['Dennis Lane'],Breakfast,2018-05-11 09:00:00+02:00,554,2018,11,Friday
['Sandy Burns'],Dinner,2017-02-17 22:00:00+01:00,36,2017,13,Monday
['Nicole Merlo'],Dinner,2016-12-13 22:00:00+01:00,374,2016,10,Saturday
['Helen Schuld'],Dinner,2015-10-22 22:00:00+02:00,32,2015,23,Friday
['Kathleen Frazier'],Dinner,2015-03-27 21:00:00+01:00,478,2015,27,Friday
['Linda Phillips' 'Mike Cooper'],Lunch,2014-07-19 13:00:00+02:00,494,2014,17,Thursday
['Mike Cooper' 'Kathleen Frazier'],Dinner,2017-10-09 21:00:00+02:00,546,2017,6,Friday
['Kathleen Frazier'],Dinner,2018-10-04 22:00:00+02:00,388,2018,5,Friday
['Mike Cooper' 'Kathleen Frazier'],Dinner,2017-01-22 20:00:00+01:00,117,2017,19,Thursday
['Kathleen Frazier'],Lunch,2017-10-12 12:00:00+02:00,624,2017,11,Wednesday
['Mike Cooper' 'Kathleen Frazier'],Lunch,2014-05-26 13:00:00+02:00,151,2014,22,Thursday
['Kathleen Frazier'],Dinner,2014-09-09 21:00:00+02:00,636,2014,14,Sunday
['Linda Phillips' 'Mike Cooper'],Breakfast,2018-11-18 08:00:00+01:00,470,2018,14,Wednesday
['Linda Phillips'],Dinner,2018-08-20 20:00:00+02:00,584,2018,18,Saturday
['Kathleen Frazier'],Dinner,2018-07-16 20:00:00+02:00,468,2018,16,Monday
['Kathleen Frazier'],Dinner,2018-08-15 20:00:00+02:00,120,2018,13,Monday
['Joyce Neff' 'Gladys Creel' 'Eugene Moore'],Dinner,2014-07-22 20:00:00+02:00,320,2014,22,Tuesday
['Gladys Creel' 'Eugene Moore'],Lunch,2015-11-08 12:00:00+01:00,174,2015,4,Wednesday
['Jacquelyn Lant' 'Eugene Moore' 'Gladys Creel'],Lunch,2014-09-04 14:00:00+02:00,460,2014,1,Monday
['Gladys Creel' 'Eugene Moore'],Dinner,2017-02-12 22:00:00+01:00,373,2017,13,Monday
['Jacquelyn Lant'],Lunch,2014-02-20 14:00:00+01:00,728,2014,17,Monday
['Joyce Neff' 'Jacquelyn Lant'],Dinner,2014-03-04 20:00:00+01:00,208,2014,4,Tuesday
['Joyce Neff' 'Eugene Moore' 'Gladys Creel'],Breakfast,2018-03-29 07:00:00+02:00,312,2018,29,Thursday
['Gladys Creel' 'Joyce Neff' 'Eugene Moore'],Breakfast,2014-08-28 08:00:00+02:00,704,2014,28,Thursday
['Jacquelyn Lant'],Lunch,2018-08-08 14:00:00+02:00,221,2018,9,Thursday
['John Bailly'],Dinner,2016-11-06 21:00:00+01:00,190,2016,10,Thursday
['John Bailly'],Lunch,2018-01-25 13:00:00+01:00,605,2018,26,Friday
['Michael Klein'],Lunch,2015-08-29 13:00:00+02:00,702,2015,27,Thursday
['John Bailly'],Lunch,2015-04-10 12:00:00+02:00,188,2015,15,Wednesday
['John Bailly'],Dinner,2014-07-29 21:00:00+02:00,757,2014,30,Wednesday
['Michael Klein'],Breakfast,2017-11-07 08:00:00+01:00,135,2017,8,Wednesday
['John Bailly'],Lunch,2016-04-28 12:00:00+02:00,33,2016,3,Tuesday
['Michael Klein'],Dinner,2014-07-11 21:00:00+02:00,645,2014,13,Sunday
['Michael Klein'],Breakfast,2014-01-03 08:00:00+01:00,418,2014,6,Monday
['John Bailly'],Breakfast,2014-08-23 09:00:00+02:00,63,2014,24,Sunday
['Michael Klein'],Dinner,2016-03-13 21:00:00+01:00,786,2016,17,Thursday
['John Bailly'],Dinner,2016-02-14 22:00:00+01:00,362,2016,14,Sunday
['Casey Jackson'],Lunch,2014-05-26 13:00:00+02:00,500,2014,28,Wednesday
['Angela Maloney' 'Kathy Otis' 'Donald Padua' 'Casey Jackson'],Lunch,2017-03-27 13:00:00+02:00,267,2017,28,Tuesday
['Otilia Porraz' 'Casey Jackson'],Breakfast,2015-02-02 08:00:00+01:00,204,2015,7,Saturday
['Donald Padua'],Dinner,2016-02-29 21:00:00+01:00,379,2016,1,Tuesday
['Kathy Otis'],Dinner,2018-02-22 22:00:00+01:00,355,2018,21,Wednesday
['Carolyn Sutherland' 'Kathy Otis'],Breakfast,2017-03-28 07:00:00+02:00,334,2017,27,Monday
['Otilia Porraz' 'Angela Maloney'],Breakfast,2018-09-08 07:00:00+02:00,38,2018,6,Thursday
['Angela Maloney' 'Donald Padua'],Breakfast,2014-07-20 08:00:00+02:00,141,2014,16,Wednesday
['Angela Maloney' 'Donald Padua' 'Kathy Otis'],Lunch,2014-09-25 13:00:00+02:00,628,2014,21,Sunday
['Otilia Porraz'],Lunch,2015-05-08 13:00:00+02:00,554,2015,7,Thursday
['Otilia Porraz'],Dinner,2018-09-05 20:00:00+02:00,520,2018,4,Tuesday
['Casey Jackson' 'Angela Maloney' 'Carolyn Sutherland'],Breakfast,2016-04-16 07:00:00+02:00,120,2016,12,Tuesday
['Donald Padua' 'Otilia Porraz' 'Casey Jackson' 'Kathy Otis'],Lunch,2014-12-20 13:00:00+01:00,620,2014,20,Saturday
['William Guenther'],Dinner,2014-07-25 22:00:00+02:00,243,2014,27,Sunday
['William Guenther' 'Cynthia Chapman'],Lunch,2014-03-21 12:00:00+01:00,514,2014,20,Thursday
['Christopher Rasmussen'],Dinner,2017-02-14 20:00:00+01:00,415,2017,14,Tuesday
['William Guenther' 'Christopher Rasmussen' 'Jean Camacho'],Lunch,2017-02-26 13:00:00+01:00,566,2017,2,Thursday
['Christopher Rasmussen' 'Cynthia Chapman' 'Jean Camacho'],Breakfast,2018-09-10 09:00:00+02:00,190,2018,11,Tuesday
['Christopher Rasmussen'],Dinner,2017-09-09 21:00:00+02:00,574,2017,14,Thursday
['Cynthia Chapman' 'Christopher Rasmussen' 'Jean Camacho'],Dinner,2017-03-25 21:00:00+01:00,860,2017,28,Tuesday
['Christopher Rasmussen' 'Jean Camacho'],Breakfast,2015-07-19 07:00:00+02:00,771,2015,24,Friday
['Christopher Rasmussen'],Lunch,2018-09-26 14:00:00+02:00,320,2018,27,Thursday
['Christopher Rasmussen'],Dinner,2016-05-22 20:00:00+02:00,401,2016,23,Monday
['Jean Camacho' 'Cynthia Chapman'],Breakfast,2017-02-23 08:00:00+01:00,68,2017,19,Sunday
['Christopher Rasmussen'],Dinner,2016-05-09 22:00:00+02:00,239,2016,9,Monday
['Kathleen Weiss'],Dinner,2017-01-15 22:00:00+01:00,93,2017,12,Thursday
['Jill Holloway' 'Melissa Mancilla' 'Kathleen Weiss' 'Leroy Riser'],Breakfast,2017-05-18 08:00:00+02:00,512,2017,14,Sunday
['Jill Holloway' 'Leroy Riser' 'Kathleen Weiss'],Lunch,2017-10-20 12:00:00+02:00,740,2017,19,Thursday
['Leroy Riser' 'Jill Holloway' 'Melissa Mancilla' 'Gregory Sharick'],Lunch,2015-12-29 13:00:00+01:00,785,2015,31,Thursday
['Gregory Sharick' 'Melissa Mancilla' 'Leroy Riser'],Breakfast,2014-02-05 09:00:00+01:00,555,2014,2,Sunday
['Melissa Mancilla' 'Leroy Riser'],Breakfast,2018-09-06 09:00:00+02:00,19,2018,11,Tuesday
['Melissa Mancilla'],Dinner,2014-09-02 22:00:00+02:00,521,2014,3,Wednesday
['Melissa Mancilla' 'Leroy Riser' 'Kathleen Weiss'],Lunch,2014-11-20 13:00:00+01:00,617,2014,20,Thursday
['Jill Holloway'],Dinner,2015-10-15 20:00:00+02:00,429,2015,13,Tuesday
['Leroy Riser'],Breakfast,2017-03-12 07:00:00+01:00,635,2017,14,Tuesday
['Teresa Barbre'],Dinner,2017-05-10 22:00:00+02:00,307,2017,12,Friday
['Teresa Barbre'],Breakfast,2014-08-11 07:00:00+02:00,36,2014,15,Friday
['John Strohmeyer'],Dinner,2017-09-10 22:00:00+02:00,243,2017,12,Tuesday
['Teresa Barbre'],Breakfast,2017-12-05 08:00:00+01:00,79,2017,8,Friday
['John Strohmeyer'],Dinner,2016-04-10 21:00:00+02:00,349,2016,10,Sunday
['Teresa Barbre'],Lunch,2016-04-23 14:00:00+02:00,211,2016,26,Tuesday
['Teresa Barbre'],Lunch,2016-09-27 13:00:00+02:00,229,2016,29,Thursday
['Marci Newton' 'Melinda Spell'],Lunch,2016-05-05 13:00:00+02:00,529,2016,5,Thursday
['Melinda Spell' 'Marci Newton'],Lunch,2016-11-10 14:00:00+01:00,505,2016,11,Friday
['Marci Newton' 'Cedrick Hutchings'],Breakfast,2017-12-01 07:00:00+01:00,426,2017,29,Wednesday
['Melinda Spell'],Lunch,2018-01-31 12:00:00+01:00,477,2018,5,Monday
['Melinda Spell' 'Cedrick Hutchings'],Lunch,2014-09-19 12:00:00+02:00,549,2014,22,Monday
['Marci Newton'],Breakfast,2014-04-14 09:00:00+02:00,395,2014,11,Friday
['Cedrick Hutchings'],Lunch,2016-06-19 12:00:00+02:00,719,2016,19,Sunday
['Melinda Spell' 'Cedrick Hutchings'],Breakfast,2015-01-15 07:00:00+01:00,473,2015,19,Monday
['Stanley Noble'],Breakfast,2015-02-09 07:00:00+01:00,135,2015,7,Saturday
['Kyle Oliver'],Dinner,2017-10-10 20:00:00+02:00,97,2017,13,Friday
['Bernard Nyquist' 'Stanley Noble'],Lunch,2018-06-22 12:00:00+02:00,426,2018,23,Saturday
['Kyle Oliver' 'Stanley Noble'],Lunch,2014-05-09 14:00:00+02:00,261,2014,8,Thursday
['Kyle Oliver'],Dinner,2015-05-05 21:00:00+02:00,656,2015,1,Friday
['Stanley Noble'],Dinner,2015-12-22 21:00:00+01:00,58,2015,24,Thursday
['Stanley Noble' 'Bernard Nyquist'],Breakfast,2018-01-21 08:00:00+01:00,645,2018,17,Wednesday
['Stanley Noble' 'Kyle Oliver'],Lunch,2015-09-08 14:00:00+02:00,682,2015,5,Saturday
['Kyle Oliver'],Dinner,2017-01-12 21:00:00+01:00,221,2017,10,Tuesday
['Kyle Oliver' 'Stanley Noble'],Dinner,2015-04-04 22:00:00+02:00,61,2015,1,Wednesday
['Kyle Oliver'],Breakfast,2015-03-04 09:00:00+01:00,70,2015,3,Tuesday
['Ronald Patrick' 'Ethan Brown' 'Allen Rich'],Dinner,2014-11-15 20:00:00+01:00,130,2014,13,Thursday
"['Robert Harlow' 'Allen Rich' 'James Parker' 'Ronald Patrick'
 'Michelle Scott']",Dinner,2015-01-30 21:00:00+01:00,29,2015,26,Monday
['Michelle Scott' 'Ronald Patrick' 'James Parker' 'Allen Rich'],Breakfast,2014-09-29 09:00:00+02:00,286,2014,29,Monday
['Allen Rich' 'Ronald Patrick'],Lunch,2015-12-29 14:00:00+01:00,746,2015,30,Wednesday
['Michelle Scott'],Lunch,2016-07-04 13:00:00+02:00,221,2016,1,Friday
['Allen Rich' 'James Parker' 'Ronald Patrick'],Breakfast,2018-07-07 09:00:00+02:00,972,2018,6,Friday
['James Parker'],Dinner,2015-08-17 22:00:00+02:00,281,2015,20,Thursday
['Ronald Patrick'],Lunch,2014-10-13 13:00:00+02:00,884,2014,13,Monday
['Michelle Scott'],Dinner,2018-10-06 21:00:00+02:00,263,2018,8,Monday
['Michelle Scott' 'Robert Harlow' 'James Parker' 'Allen Rich'],Dinner,2017-04-20 20:00:00+02:00,204,2017,25,Tuesday
['Joanne Bartlett'],Dinner,2014-01-14 22:00:00+01:00,257,2014,16,Thursday
['Joanne Bartlett' 'Debora Rimmer'],Lunch,2016-07-07 13:00:00+02:00,736,2016,6,Wednesday
['Debora Rimmer'],Dinner,2016-12-23 20:00:00+01:00,166,2016,28,Wednesday
['Paul Rice'],Breakfast,2016-06-21 09:00:00+02:00,335,2016,18,Saturday
['Paul Rice' 'Debora Rimmer' 'Joanne Bartlett'],Lunch,2017-08-20 12:00:00+02:00,603,2017,24,Thursday
['Paul Rice'],Lunch,2018-10-03 14:00:00+02:00,183,2018,5,Friday
['Celina Luevano' 'Joanne Bartlett'],Breakfast,2016-07-08 07:00:00+02:00,643,2016,11,Monday
['Celina Luevano'],Breakfast,2014-10-17 08:00:00+02:00,417,2014,14,Tuesday
['Joanne Bartlett' 'Debora Rimmer'],Lunch,2016-04-05 14:00:00+02:00,871,2016,8,Friday
['Paul Rice' 'Debora Rimmer'],Breakfast,2014-05-12 08:00:00+02:00,143,2014,8,Thursday
['Debora Rimmer' 'Celina Luevano'],Lunch,2014-04-07 13:00:00+02:00,72,2014,11,Friday
['Paul Rice' 'Joanne Bartlett' 'Debora Rimmer'],Lunch,2016-06-17 13:00:00+02:00,26,2016,13,Monday
['Celina Luevano'],Breakfast,2017-10-28 07:00:00+02:00,402,2017,1,Wednesday
['Paul Rice'],Lunch,2018-08-16 13:00:00+02:00,376,2018,17,Friday
['Toby Heffern' 'Michael Young' 'Ronald Garretson' 'James Dolce'],Lunch,2015-01-31 12:00:00+01:00,381,2015,2,Monday
['Ronald Garretson'],Breakfast,2015-06-17 09:00:00+02:00,606,2015,22,Monday
['James Dolce' 'Toby Heffern' 'Ronald Garretson' 'Michael Young'],Breakfast,2018-05-04 07:00:00+02:00,556,2018,1,Tuesday
"['Toby Heffern' 'Ramon Ortiz' 'James Dolce' 'Robert Faustini'
 'Ronald Garretson']",Lunch,2016-03-31 12:00:00+02:00,775,2016,27,Sunday
['James Dolce'],Dinner,2015-05-09 20:00:00+02:00,444,2015,11,Monday
['James Dolce'],Breakfast,2018-06-30 08:00:00+02:00,19,2018,30,Saturday
"['Ramon Ortiz' 'Toby Heffern' 'Ronald Garretson' 'James Dolce'
 'Michael Young']",Lunch,2017-10-09 14:00:00+02:00,245,2017,10,Tuesday
['Toby Heffern' 'Ronald Garretson' 'Ramon Ortiz'],Breakfast,2017-11-02 07:00:00+01:00,596,2017,7,Tuesday
['Robert Faustini' 'Michael Young' 'Toby Heffern' 'Ramon Ortiz'],Dinner,2016-02-05 21:00:00+01:00,183,2016,6,Saturday
['Ramon Ortiz' 'Michael Young' 'James Dolce'],Lunch,2016-02-03 12:00:00+01:00,316,2016,6,Saturday
['Robert Faustini' 'James Dolce' 'Ramon Ortiz' 'Ronald Garretson'],Breakfast,2015-10-30 08:00:00+01:00,726,2015,26,Monday
['James Dolce'],Breakfast,2017-03-26 08:00:00+02:00,40,2017,25,Saturday
['Ronald Garretson' 'James Dolce' 'Ramon Ortiz' 'Michael Young'],Dinner,2017-04-23 22:00:00+02:00,170,2017,25,Tuesday
['Carmen Lacy'],Dinner,2014-09-29 20:00:00+02:00,769,2014,29,Monday
['Lisa Weeks' 'Penny Gaudette' 'Gary Barney'],Dinner,2016-06-26 22:00:00+02:00,360,2016,23,Thursday
['Dorothy Morris'],Lunch,2018-03-19 14:00:00+01:00,42,2018,17,Saturday
['Penny Gaudette'],Breakfast,2017-01-02 09:00:00+01:00,497,2017,4,Wednesday
"['Kathleen Levan' 'Gary Barney' 'Dorothy Morris' 'Penny Gaudette'
 'Carmen Lacy']",Breakfast,2018-06-06 09:00:00+02:00,813,2018,2,Saturday
['Dorothy Morris' 'Kathleen Levan'],Lunch,2017-01-12 12:00:00+01:00,849,2017,15,Sunday
['Penny Gaudette' 'Lisa Weeks' 'Kathleen Levan'],Breakfast,2015-12-19 08:00:00+01:00,524,2015,15,Tuesday
"['Kim Pinson' 'Karla Scarberry' 'Deborah Severs' 'Pamela Thompson'
 'Holly Friedman']",Breakfast,2018-06-05 09:00:00+02:00,106,2018,5,Tuesday
"['Holly Friedman' 'Pamela Thompson' 'Lisa Hicks' 'Karla Scarberry'
 'Deborah Severs']",Lunch,2018-07-23 12:00:00+02:00,675,2018,21,Saturday
['Kim Pinson' 'Lisa Hicks'],Dinner,2016-09-24 22:00:00+02:00,98,2016,29,Thursday
['Pamela Thompson' 'Karla Scarberry'],Breakfast,2018-10-20 09:00:00+02:00,569,2018,23,Tuesday
['Deborah Severs' 'Lisa Hicks' 'Pamela Thompson'],Lunch,2017-07-23 12:00:00+02:00,420,2017,22,Saturday
['Kim Pinson'],Dinner,2014-05-13 22:00:00+02:00,623,2014,16,Friday
['Deborah Severs'],Breakfast,2016-07-30 09:00:00+02:00,404,2016,4,Thursday
['Deborah Severs'],Dinner,2015-02-05 22:00:00+01:00,457,2015,2,Monday
['Pamela Thompson' 'Karla Scarberry'],Lunch,2016-09-03 14:00:00+02:00,556,2016,31,Wednesday
"['Karla Scarberry' 'Kim Pinson' 'Holly Friedman' 'Pamela Thompson'
 'Deborah Severs']",Lunch,2014-06-26 13:00:00+02:00,574,2014,26,Thursday
['Deborah Severs'],Breakfast,2017-11-09 08:00:00+01:00,698,2017,7,Tuesday
['Michael Faison' 'Grace Batz' 'Jennifer Briel' 'Virginia Butler'],Dinner,2016-10-18 22:00:00+02:00,205,2016,22,Saturday
['Virginia Butler' 'Edward Smothers'],Lunch,2014-05-15 13:00:00+02:00,313,2014,20,Tuesday
['Edward Smothers' 'Michael Faison' 'Grace Batz' 'Virginia Butler'],Dinner,2017-07-19 20:00:00+02:00,59,2017,24,Monday
['Edward Smothers' 'Jennifer Briel' 'Michael Faison' 'Grace Batz'],Lunch,2018-09-19 12:00:00+02:00,403,2018,17,Monday
['Sheila Ball' 'Edward Smothers' 'Virginia Butler'],Breakfast,2018-05-05 08:00:00+02:00,720,2018,2,Wednesday
['Edward Smothers' 'Virginia Butler'],Lunch,2014-12-14 12:00:00+01:00,806,2014,15,Monday
['Jennifer Briel' 'Michael Faison' 'Grace Batz'],Dinner,2014-10-26 20:00:00+01:00,513,2014,23,Thursday
['Sheila Ball'],Breakfast,2017-01-29 08:00:00+01:00,132,2017,28,Saturday
['Grace Batz' 'Michael Faison' 'Edward Smothers' 'Sheila Ball'],Breakfast,2015-03-19 08:00:00+01:00,456,2015,17,Tuesday
"['Sheila Ball' 'Edward Smothers' 'Virginia Butler' 'Grace Batz'
 'Jennifer Briel']",Lunch,2015-02-20 14:00:00+01:00,463,2015,20,Friday
['Judith Wansley' 'Norman Monroe'],Dinner,2015-03-05 20:00:00+01:00,337,2015,5,Thursday
['Norman Monroe'],Breakfast,2015-12-20 07:00:00+01:00,651,2015,19,Saturday
['Susan Travis'],Lunch,2018-09-04 12:00:00+02:00,295,2018,7,Friday
['Susan Travis'],Lunch,2017-09-16 12:00:00+02:00,81,2017,20,Wednesday
['Judith Wansley'],Breakfast,2018-08-03 09:00:00+02:00,158,2018,30,Monday
['Susan Travis' 'Judith Wansley'],Lunch,2015-03-05 14:00:00+01:00,254,2015,2,Monday
['Susan Travis' 'Norman Monroe'],Dinner,2015-03-16 22:00:00+01:00,535,2015,19,Thursday
['Judith Wansley'],Lunch,2017-11-07 13:00:00+01:00,550,2017,5,Sunday
['Susan Travis' 'Judith Wansley'],Breakfast,2018-06-24 09:00:00+02:00,606,2018,23,Saturday
['Donna Hutchins'],Dinner,2018-11-04 22:00:00+01:00,386,2018,31,Wednesday
['Ashley Samuels'],Breakfast,2014-04-10 08:00:00+02:00,329,2014,8,Tuesday
['Donna Hutchins'],Breakfast,2014-04-02 08:00:00+02:00,663,2014,3,Thursday
['Donna Hutchins'],Dinner,2018-10-02 20:00:00+02:00,291,2018,3,Wednesday
['Donna Hutchins'],Dinner,2017-06-28 20:00:00+02:00,712,2017,1,Saturday
['Ashley Samuels'],Dinner,2016-01-27 20:00:00+01:00,186,2016,30,Saturday
['Ashley Samuels'],Breakfast,2015-08-06 07:00:00+02:00,482,2015,7,Friday
['Angelo Roberto' 'Ashley Dreesman' 'Leo Tignor'],Breakfast,2015-02-08 07:00:00+01:00,235,2015,12,Thursday
['Leo Tignor'],Breakfast,2017-01-29 09:00:00+01:00,257,2017,29,Sunday
['Leo Tignor'],Lunch,2018-03-10 13:00:00+01:00,468,2018,8,Thursday
['Peggy Young'],Breakfast,2016-12-06 07:00:00+01:00,440,2016,3,Saturday
['Peggy Young'],Lunch,2017-08-08 13:00:00+02:00,223,2017,11,Friday
['Delbert Garcia'],Lunch,2014-08-11 13:00:00+02:00,52,2014,9,Saturday
['Angelo Roberto'],Breakfast,2018-06-07 09:00:00+02:00,790,2018,3,Sunday
['Leo Tignor' 'Ashley Dreesman' 'Delbert Garcia' 'Angelo Roberto'],Lunch,2015-01-09 14:00:00+01:00,558,2015,6,Tuesday
['Angelo Roberto' 'Delbert Garcia'],Lunch,2015-09-24 12:00:00+02:00,350,2015,28,Monday
['Ashley Dreesman'],Dinner,2015-09-08 21:00:00+02:00,668,2015,9,Wednesday
['Peggy Young'],Lunch,2015-06-10 13:00:00+02:00,127,2015,13,Saturday
['Ashley Dreesman' 'Delbert Garcia' 'Angelo Roberto' 'Peggy Young'],Dinner,2014-11-25 21:00:00+01:00,583,2014,26,Wednesday
['Ashley Dreesman'],Lunch,2015-12-30 14:00:00+01:00,300,2015,27,Sunday
['Phillip Orr'],Dinner,2014-03-17 20:00:00+01:00,696,2014,16,Sunday
['Arlene Loring' 'Courtney Williamson'],Breakfast,2016-04-21 09:00:00+02:00,536,2016,20,Wednesday
['William Joy' 'Francesca Glaspie'],Lunch,2016-06-23 13:00:00+02:00,832,2016,27,Monday
"['William Joy' 'Arlene Loring' 'Phillip Orr' 'Estella Jean'
 'Courtney Williamson']",Dinner,2016-03-31 22:00:00+02:00,307,2016,27,Sunday
['Estella Jean' 'Phillip Orr' 'Francesca Glaspie' 'William Joy'],Lunch,2016-11-13 13:00:00+01:00,680,2016,14,Monday
['William Joy' 'Francesca Glaspie' 'Estella Jean' 'Phillip Orr'],Lunch,2015-06-13 13:00:00+02:00,740,2015,16,Tuesday
['Estella Jean'],Breakfast,2016-03-17 07:00:00+01:00,626,2016,13,Sunday
['Arlene Loring' 'Francesca Glaspie' 'Courtney Williamson' 'Phillip Orr'],Dinner,2018-05-26 20:00:00+02:00,348,2018,30,Wednesday
['Courtney Williamson' 'Francesca Glaspie' 'William Joy' 'Arlene Loring'],Lunch,2015-06-05 12:00:00+02:00,205,2015,8,Monday
['Francesca Glaspie'],Breakfast,2014-10-31 09:00:00+01:00,819,2014,31,Friday
['Wilbur Brennan'],Breakfast,2017-06-17 08:00:00+02:00,846,2017,15,Thursday
['Wilbur Brennan' 'William Keeler'],Breakfast,2018-07-04 08:00:00+02:00,399,2018,2,Monday
['William Keeler' 'Wilbur Brennan'],Breakfast,2014-03-21 09:00:00+01:00,331,2014,23,Sunday
